model,suite,condition,config_hash,item_id,item_index,level_index,stimulus_level,severity_rank,margin,correct,true_label,predicted_label,target_rank,target_logit,max_softmax,decision_margin
resnet50,ContrastThreshold,contrast[rms],3c07091b994c678d4964762d88f85a8691afd1c633b0a1cbfe1e9f9f54ad33ad,n01440764/n01440764_1980.JPEG,0,0,0.01,6,-4.706346035003662,0,0,618,556,-7.329370498657227,0.03987930710507201,0.5339045524597168
resnet50,ContrastThreshold,contrast[rms],3c07091b994c678d4964762d88f85a8691afd1c633b0a1cbfe1e9f9f54ad33ad,n01440764/n01440764_13051.JPEG,1,0,0.01,6,-2.9449381828308105,0,0,644,380,-6.409176349639893,0.017540135973225176,0.4883406162261963
resnet50,ContrastThreshold,contrast[rms],3c07091b994c678d4964762d88f85a8691afd1c633b0a1cbfe1e9f9f54ad33ad,n01440764/n01440764_27811.JPEG,2,0,0.01,6,0.8361706733703613,1,0,0,1,1.117405891418457,0.5354031579435723,0.8361706733703613
resnet50,ContrastThreshold,contrast[rms],3c07091b994c678d4964762d88f85a8691afd1c633b0a1cbfe1e9f9f54ad33ad,n01440764/n01440764_10792.JPEG,3,0,0.01,6,-4.08966588973999,0,0,916,471,-6.625932693481445,0.04421815329783384,1.128002405166626
resnet50,ContrastThreshold,contrast[rms],3c07091b994c678d4964762d88f85a8691afd1c633b0a1cbfe1e9f9f54ad33ad,n01440764/n01440764_12620.JPEG,4,0,0.01,6,-2.5851833820343018,0,0,644,296,-6.177033424377441,0.014389773087166912,0.43976616859436035
resnet50,ContrastThreshold,contrast[rms],3c07091b994c678d4964762d88f85a8691afd1c633b0a1cbfe1e9f9f54ad33ad,n01440764/n01440764_5481.JPEG,5,0,0.01,6,-4.165467739105225,0,0,66,54,-5.579519271850586,0.16315489863951813,1.034872055053711
resnet50,ContrastThreshold,contrast[rms],3c07091b994c678d4964762d88f85a8691afd1c633b0a1cbfe1e9f9f54ad33ad,n01440764/n01440764_9572.JPEG,6,0,0.01,6,-4.688243985176086,0,0,603,208,-6.661828517913818,0.0863964650968171,0.6035381555557251
resnet50,ContrastThreshold,contrast[rms],3c07091b994c678d4964762d88f85a8691afd1c633b0a1cbfe1e9f9f54ad33ad,n01440764/n01440764_5861.JPEG,7,0,0.01,6,1.4685773849487305,1,0,0,1,-0.23235011100769043,0.4419947848102582,1.4685773849487305
resnet50,ContrastThreshold,contrast[rms],3c07091b994c678d4964762d88f85a8691afd1c633b0a1cbfe1e9f9f54ad33ad,n01440764/n01440764_9780.JPEG,8,0,0.01,6,-1.0941450595855713,0,0,367,22,-4.419981956481934,0.015222110685789695,0.1870720386505127
resnet50,ContrastThreshold,contrast[rms],3c07091b994c678d4964762d88f85a8691afd1c633b0a1cbfe1e9f9f54ad33ad,n01440764/n01440764_14650.JPEG,9,0,0.01,6,1.0162874460220337,1,0,0,1,-0.7056417465209961,0.32571010769302344,1.0162874460220337
resnet50,ContrastThreshold,contrast[rms],3c07091b994c678d4964762d88f85a8691afd1c633b0a1cbfe1e9f9f54ad33ad,n01440764/n01440764_6751.JPEG,10,0,0.01,6,-4.534150838851929,0,0,880,111,-6.277882099151611,0.1281901141880681,0.5743978023529053
resnet50,ContrastThreshold,contrast[rms],3c07091b994c678d4964762d88f85a8691afd1c633b0a1cbfe1e9f9f54ad33ad,n01440764/n01440764_11602.JPEG,11,0,0.01,6,-2.6692943572998047,0,0,394,10,-3.886636972427368,0.14177413621948076,0.491388201713562
resnet50,ContrastThreshold,contrast[rms],3c07091b994c678d4964762d88f85a8691afd1c633b0a1cbfe1e9f9f54ad33ad,n01440764/n01440764_7571.JPEG,12,0,0.01,6,-3.719325065612793,0,0,856,210,-6.136244773864746,0.035418481348770826,0.01932668685913086
resnet50,ContrastThreshold,contrast[rms],3c07091b994c678d4964762d88f85a8691afd1c633b0a1cbfe1e9f9f54ad33ad,n01440764/n01440764_17921.JPEG,13,0,0.01,6,-4.8701722621917725,0,0,819,305,-6.942641258239746,0.08201208745898231,0.884300947189331
