model,suite,condition,config_hash,item_id,item_index,level_index,stimulus_level,severity_rank,margin,correct,true_label,predicted_label,target_rank,target_logit,max_softmax,decision_margin
resnet50,DegradationSuite,degradation[gaussian_noise],31cbdd86ea31f8cd1e3ad46466f00ad481b3ab3df58e977c0b7c8ac223926753,n01440764/n01440764_1980.JPEG,0,0,0.0,0,10.71371078491211,1,0,0,1,7.250820636749268,0.9998862716754892,10.71371078491211
resnet50,DegradationSuite,degradation[gaussian_noise],31cbdd86ea31f8cd1e3ad46466f00ad481b3ab3df58e977c0b7c8ac223926753,n01440764/n01440764_13051.JPEG,1,0,0.0,0,17.109871864318848,1,0,0,1,10.141824722290039,0.999998174264717,17.109871864318848
resnet50,DegradationSuite,degradation[gaussian_noise],31cbdd86ea31f8cd1e3ad46466f00ad481b3ab3df58e977c0b7c8ac223926753,n01440764/n01440764_27811.JPEG,2,0,0.0,0,-1.4898831844329834,0,0,391,2,0.04463696479797363,0.7489418774522028,1.4898831844329834
resnet50,DegradationSuite,degradation[gaussian_noise],31cbdd86ea31f8cd1e3ad46466f00ad481b3ab3df58e977c0b7c8ac223926753,n01440764/n01440764_10792.JPEG,3,0,0.0,0,18.838531970977783,1,0,0,1,11.280637741088867,0.9999991620453178,18.838531970977783
resnet50,DegradationSuite,degradation[gaussian_noise],31cbdd86ea31f8cd1e3ad46466f00ad481b3ab3df58e977c0b7c8ac223926753,n01440764/n01440764_12620.JPEG,4,0,0.0,0,5.585965037345886,1,0,0,1,3.9263534545898438,0.9943844997015528,5.585965037345886
resnet50,DegradationSuite,degradation[gaussian_noise],31cbdd86ea31f8cd1e3ad46466f00ad481b3ab3df58e977c0b7c8ac223926753,n01440764/n01440764_5481.JPEG,5,0,0.0,0,8.652661323547363,1,0,0,1,3.611316204071045,0.9969164905774763,8.652661323547363
resnet50,DegradationSuite,degradation[gaussian_noise],31cbdd86ea31f8cd1e3ad46466f00ad481b3ab3df58e977c0b7c8ac223926753,n01440764/n01440764_9572.JPEG,6,0,0.0,0,10.021048069000244,1,0,0,1,6.735894680023193,0.9998406694267197,10.021048069000244
resnet50,DegradationSuite,degradation[gaussian_noise],31cbdd86ea31f8cd1e3ad46466f00ad481b3ab3df58e977c0b7c8ac223926753,n01440764/n01440764_5861.JPEG,7,0,0.0,0,9.686482906341553,1,0,0,1,6.682884693145752,0.9998259247805378,9.686482906341553
resnet50,DegradationSuite,degradation[gaussian_noise],31cbdd86ea31f8cd1e3ad46466f00ad481b3ab3df58e977c0b7c8ac223926753,n01440764/n01440764_9780.JPEG,8,0,0.0,0,19.51731300354004,1,0,0,1,11.7445068359375,0.9999998012461138,19.51731300354004
resnet50,DegradationSuite,degradation[gaussian_noise],31cbdd86ea31f8cd1e3ad46466f00ad481b3ab3df58e977c0b7c8ac223926753,n01440764/n01440764_14650.JPEG,9,0,0.0,0,13.733854293823242,1,0,0,1,7.979475498199463,0.9999823818370549,13.733854293823242
resnet50,DegradationSuite,degradation[gaussian_noise],31cbdd86ea31f8cd1e3ad46466f00ad481b3ab3df58e977c0b7c8ac223926753,n01440764/n01440764_6751.JPEG,10,0,0.0,0,13.262948274612427,1,0,0,1,9.670045852661133,0.9999940911013151,13.262948274612427
resnet50,DegradationSuite,degradation[gaussian_noise],31cbdd86ea31f8cd1e3ad46466f00ad481b3ab3df58e977c0b7c8ac223926753,n01440764/n01440764_11602.JPEG,11,0,0.0,0,18.54364585876465,1,0,0,1,11.733640670776367,0.9999994541622015,18.54364585876465
resnet50,DegradationSuite,degradation[gaussian_noise],31cbdd86ea31f8cd1e3ad46466f00ad481b3ab3df58e977c0b7c8ac223926753,n01440764/n01440764_7571.JPEG,12,0,0.0,0,16.554285049438477,1,0,0,1,9.688581466674805,0.9999963946180884,16.554285049438477
resnet50,DegradationSuite,degradation[gaussian_noise],31cbdd86ea31f8cd1e3ad46466f00ad481b3ab3df58e977c0b7c8ac223926753,n01440764/n01440764_17921.JPEG,13,0,0.0,0,9.175343036651611,1,0,0,1,6.25691556930542,0.9997132607581385,9.175343036651611
resnet50,DegradationSuite,degradation[gaussian_noise],31cbdd86ea31f8cd1e3ad46466f00ad481b3ab3df58e977c0b7c8ac223926753,n01440764/n01440764_4540.JPEG,14,0,0.0,0,16.013930320739746,1,0,0,1,9.721885681152344,0.9999960626781713,16.013930320739746
resnet50,DegradationSuite,degradation[gaussian_noise],31cbdd86ea31f8cd1e3ad46466f00ad481b3ab3df58e977c0b7c8ac223926753,n01440764/n01440764_5642.JPEG,15,0,0.0,0,14.941595554351807,1,0,0,1,9.224985122680664,0.9999945304708245,14.941595554351807
resnet50,DegradationSuite,degradation[gaussian_noise],31cbdd86ea31f8cd1e3ad46466f00ad481b3ab3df58e977c0b7c8ac223926753,n01440764/n01440764_3172.JPEG,16,0,0.0,0,17.013817310333252,1,0,0,1,12.228755950927734,0.9999997936027598,17.013817310333252
resnet50,DegradationSuite,degradation[gaussian_noise],31cbdd86ea31f8cd1e3ad46466f00ad481b3ab3df58e977c0b7c8ac223926753,n01440764/n01440764_14232.JPEG,17,0,0.0,0,10.987983703613281,1,0,0,1,7.396076679229736,0.9999136056424597,10.987983703613281
resnet50,DegradationSuite,degradation[gaussian_noise],31cbdd86ea31f8cd1e3ad46466f00ad481b3ab3df58e977c0b7c8ac223926753,n01440764/n01440764_4221.JPEG,18,0,0.0,0,5.195469260215759,1,0,0,1,3.4366846084594727,0.9907260645499725,5.195469260215759
