model,suite,condition,config_hash,item_id,item_index,level_index,stimulus_level,severity_rank,margin,correct,true_label,predicted_label,target_rank,target_logit,max_softmax,decision_margin
resnet50,DistractorRobustness,distractors,b57ca9789e115831c0960d70e9be712e73e32465b354ea7733954bd22cb23726,n01440764/n01440764_1980.JPEG,0,0,20.0,0,1.3752756118774414,1,0,0,1,0.12111449241638184,0.4693921400604317,1.3752756118774414
resnet50,DistractorRobustness,distractors,b57ca9789e115831c0960d70e9be712e73e32465b354ea7733954bd22cb23726,n01440764/n01440764_13051.JPEG,1,0,20.0,0,13.692502498626709,1,0,0,1,7.580428600311279,0.9999612427617701,13.692502498626709
resnet50,DistractorRobustness,distractors,b57ca9789e115831c0960d70e9be712e73e32465b354ea7733954bd22cb23726,n01440764/n01440764_27811.JPEG,2,0,20.0,0,-2.59890079498291,0,0,391,2,-0.45215559005737305,0.867949544871352,2.59890079498291
resnet50,DistractorRobustness,distractors,b57ca9789e115831c0960d70e9be712e73e32465b354ea7733954bd22cb23726,n01440764/n01440764_10792.JPEG,3,0,20.0,0,15.852514266967773,1,0,0,1,9.853057861328125,0.9999942683976519,15.852514266967773
resnet50,DistractorRobustness,distractors,b57ca9789e115831c0960d70e9be712e73e32465b354ea7733954bd22cb23726,n01440764/n01440764_12620.JPEG,4,0,20.0,0,3.696730852127075,1,0,0,1,2.241795063018799,0.9549174551827426,3.696730852127075
resnet50,DistractorRobustness,distractors,b57ca9789e115831c0960d70e9be712e73e32465b354ea7733954bd22cb23726,n01440764/n01440764_5481.JPEG,5,0,20.0,0,9.443788528442383,1,0,0,1,4.40028715133667,0.9982071291443967,9.443788528442383
resnet50,DistractorRobustness,distractors,b57ca9789e115831c0960d70e9be712e73e32465b354ea7733954bd22cb23726,n01440764/n01440764_9572.JPEG,6,0,20.0,0,0.6986982822418213,1,0,0,1,0.908576488494873,0.6218874775661727,0.6986982822418213
resnet50,DistractorRobustness,distractors,b57ca9789e115831c0960d70e9be712e73e32465b354ea7733954bd22cb23726,n01440764/n01440764_5861.JPEG,7,0,20.0,0,10.308613538742065,1,0,0,1,6.422360897064209,0.9996835390836666,10.308613538742065
resnet50,DistractorRobustness,distractors,b57ca9789e115831c0960d70e9be712e73e32465b354ea7733954bd22cb23726,n01440764/n01440764_9780.JPEG,8,0,20.0,0,14.490694046020508,1,0,0,1,8.311100006103516,0.9999806253296907,14.490694046020508
resnet50,DistractorRobustness,distractors,b57ca9789e115831c0960d70e9be712e73e32465b354ea7733954bd22cb23726,n01440764/n01440764_14650.JPEG,9,0,20.0,0,12.330345630645752,1,0,0,1,7.484090328216553,0.999922114640897,12.330345630645752
